Title,Ingredients,Cuisine,Calories,Instructions
Greek-Style Burgers with Feta Aioli,"Aioli:, 1/2 cup (2 ounces) crumbled feta cheese, 2 tablespoons light mayonnaise, 2 tablespoons plain fat-free yogurt, 1/4 teaspoon coarsely ground black pepper, 1 garlic clove, minced, Burgers:, 5 (1/2-inch-thick) slices red onion, Cooking spray, 1 pound lean ground round, 2/3 cup fresh breadcrumbs, 1/3 cup chopped bottled roasted red bell peppers, 1/4 cup chopped fresh parsley, 1 teaspoon dried oregano, 1/4 teaspoon salt, 1/4 teaspoon coarsely ground black pepper, 1 (10-ounce) package frozen chopped spinach, thawed, drained, and squeezed dry, 1 large egg, lightly beaten, 2 garlic cloves, crushed, 5 (1 1/2-ounce) sourdough sandwich buns","mediterranean, greek",2332.61,"Start by gathering the following ingredients: Aioli:, 1/2 cup (2 ounces) crumbled feta cheese, 2 tablespoons light mayonnaise, 2 tablespoons plain fat-free yogurt, 1/4 teaspoon coarsely ground black pepper, 1 garlic clove, minced, Burgers:, 5 (1/2-inch-thick) slices red onion, Cooking spray, 1 pound lean ground round, 2/3 cup fresh breadcrumbs, 1/3 cup chopped bottled roasted red bell peppers, 1/4 cup chopped fresh parsley, 1 teaspoon dried oregano, 1/4 teaspoon salt, 1/4 teaspoon coarsely ground black pepper, 1 (10-ounce) package frozen chopped spinach, thawed, drained, and squeezed dry, 1 large egg, lightly beaten, 2 garlic cloves, crushed, 5 (1 1/2-ounce) sourdough sandwich buns. Prepare the dish categorized as a sandwiches. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the sandwiches hot. This dish is suitable for Sugar-Conscious, Peanut-Free, Tree-Nut-Free, Fish-Free, Shellfish-Free, Pork-Free, Crustacean-Free, Celery-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free. It contains approximately 2332.61 calories in total."
Mini Mediterranean Chicken Meatloaf with Chimichurri,"1 Pound lean ground chicken (can substitute lean ground turkey), 1 Cup baby spinach, medium chopped, 1/2 Cup red bell pepper, finely diced, 1/2 Cup yellow onion, finely diced, 1 1/2 Ounce fresh mozzarella, medium chopped, 1 Tablespoon fresh basil, minced, 1 Tablespoon fresh Italian parsley, minced, 1 large egg, beaten, 1/2 Cup quick oats, 1 Tablespoon whole milk, 1 Teaspoon Worcestershire sauce, 1/4 Teaspoon garlic powder, 1 Cup fresh basil, packed, 1/2 Cup fresh Italian parsley, packed, 1/2 garlic clove, germ removed, 2 Tablespoons extra-virgin olive oil, 1 Tablespoon fresh lemon juice, 1 Teaspoon white wine vinegar, 1 Pinch of crushed red pepper flakes, Salt, to taste, Black pepper, to taste",mediterranean,1335.74,"Start by gathering the following ingredients: 1 Pound lean ground chicken (can substitute lean ground turkey), 1 Cup baby spinach, medium chopped, 1/2 Cup red bell pepper, finely diced, 1/2 Cup yellow onion, finely diced, 1 1/2 Ounce fresh mozzarella, medium chopped, 1 Tablespoon fresh basil, minced, 1 Tablespoon fresh Italian parsley, minced, 1 large egg, beaten, 1/2 Cup quick oats, 1 Tablespoon whole milk, 1 Teaspoon Worcestershire sauce, 1/4 Teaspoon garlic powder, 1 Cup fresh basil, packed, 1/2 Cup fresh Italian parsley, packed, 1/2 garlic clove, germ removed, 2 Tablespoons extra-virgin olive oil, 1 Tablespoon fresh lemon juice, 1 Teaspoon white wine vinegar, 1 Pinch of crushed red pepper flakes, Salt, to taste, Black pepper, to taste. Prepare the dish categorized as a condiments and sauces. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the condiments and sauces hot. This dish is suitable for Sugar-Conscious, Peanut-Free, Tree-Nut-Free, Soy-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free. It contains approximately 1335.74 calories in total."
Garlic Chicken Lasagna,"3 tbsp Olive oil, 1 x Yellow bell pepper, 8 Cloves Garlic - minced, 1 x Onion- diced, 2 cup Spinach - chopped, 2 cup Portobello Mushrooms, 4 tbsp Balsamic Vinegar, 2 pinch Dry basil, 2 pinch Nutmeg, 1 pinch Sea salt to taste, 1/2 cup Chicken broth, 3 x Chicken Breast - cooked, 4 cup Marinara Sauce, 1 Box Brown rice lasagna noodles - cooked, 15 oz Cottage Cheese or ricotta, 8 oz Cream cheese - softened, 4 oz Shredded cheddar cheese, 4 oz Parmesan, 1 dash Nutmeg, 1 x Egg - lightly beaten, 4 oz Goat Cheese",italian,5886.9,"Start by gathering the following ingredients: 3 tbsp Olive oil, 1 x Yellow bell pepper, 8 Cloves Garlic - minced, 1 x Onion- diced, 2 cup Spinach - chopped, 2 cup Portobello Mushrooms, 4 tbsp Balsamic Vinegar, 2 pinch Dry basil, 2 pinch Nutmeg, 1 pinch Sea salt to taste, 1/2 cup Chicken broth, 3 x Chicken Breast - cooked, 4 cup Marinara Sauce, 1 Box Brown rice lasagna noodles - cooked, 15 oz Cottage Cheese or ricotta, 8 oz Cream cheese - softened, 4 oz Shredded cheddar cheese, 4 oz Parmesan, 1 dash Nutmeg, 1 x Egg - lightly beaten, 4 oz Goat Cheese. Prepare the dish categorized as a main course. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course hot. This dish is suitable for Gluten-Free, Wheat-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Fish-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free. It contains approximately 5886.9 calories in total."
Vegetable Frittata Squares,"1 cup broccoli florets, 2 tablespoons extra-virgin olive oil, 1 onion, finely chopped, 1 cup chopped mushrooms, 1 medium zucchini, cut into 1/2-inch dice, 1 medium yellow squash, cut into 1/2-inch dice, 1 medium red bell pepper, seeded, cut into 1/2-inch dice, Salt and pepper, 1 10-oz. package frozen chopped spinach, defrosted, squeezed dry, 1 cup frozen peas, defrosted, 1 cup frozen corn, defrosted, 6 large eggs, beaten, ½ cup reduced-fat sour cream, 3 tablespoons snipped fresh chives, 1 cup grated Parmesan",american,2087.77,"Start by gathering the following ingredients: 1 cup broccoli florets, 2 tablespoons extra-virgin olive oil, 1 onion, finely chopped, 1 cup chopped mushrooms, 1 medium zucchini, cut into 1/2-inch dice, 1 medium yellow squash, cut into 1/2-inch dice, 1 medium red bell pepper, seeded, cut into 1/2-inch dice, Salt and pepper, 1 10-oz. package frozen chopped spinach, defrosted, squeezed dry, 1 cup frozen peas, defrosted, 1 cup frozen corn, defrosted, 6 large eggs, beaten, ½ cup reduced-fat sour cream, 3 tablespoons snipped fresh chives, 1 cup grated Parmesan. Prepare the dish categorized as a main course, egg. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course, egg hot. This dish is suitable for Sugar-Conscious, Kidney-Friendly, Keto-Friendly, Vegetarian, Pescatarian, Mediterranean, Gluten-Free, Wheat-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Fish-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free, Kosher. It contains approximately 2087.77 calories in total."
Italian Easter Pie,"For the crust:, 3 cups all-purpose flour, 2 teaspoons granulated sugar, 2 teaspoons kosher salt, 12 tablespoons (1½ sticks) cold unsalted butter, cubed, 1 large egg, 7 tablespoons ice water, Nonstick cooking spray, For the filling:, 8 ounces sweet Italian sausage, casings removed, 1 (15-oz.) container whole-milk ricotta cheese, 8 ounces low-moisture mozzarella cheese, cubed, ⅛ teaspoon freshly-ground black pepper, 4 large eggs, 8 ounces salami, cubed, 8 ounces hot capicola, cubed, 8 ounces smoked ham, cubed, 2 ounces thinly sliced proscuitto, 1 cup tightly packed whole roasted red bell peppers (about 7 oz.), drained and patted dry with paper towels, 2 (10-oz.) pkg. frozen chopped spinach, thawed and squeezed dry and pressed between paper towels to remove all moisture, 2 ½ ounces Parmesan cheese, finely shredded (about 1 cup)",italian,7385.05,"Start by gathering the following ingredients: For the crust:, 3 cups all-purpose flour, 2 teaspoons granulated sugar, 2 teaspoons kosher salt, 12 tablespoons (1½ sticks) cold unsalted butter, cubed, 1 large egg, 7 tablespoons ice water, Nonstick cooking spray, For the filling:, 8 ounces sweet Italian sausage, casings removed, 1 (15-oz.) container whole-milk ricotta cheese, 8 ounces low-moisture mozzarella cheese, cubed, ⅛ teaspoon freshly-ground black pepper, 4 large eggs, 8 ounces salami, cubed, 8 ounces hot capicola, cubed, 8 ounces smoked ham, cubed, 2 ounces thinly sliced proscuitto, 1 cup tightly packed whole roasted red bell peppers (about 7 oz.), drained and patted dry with paper towels, 2 (10-oz.) pkg. frozen chopped spinach, thawed and squeezed dry and pressed between paper towels to remove all moisture, 2 ½ ounces Parmesan cheese, finely shredded (about 1 cup). Prepare the dish categorized as a desserts. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the desserts hot. This dish is suitable for Sugar-Conscious, Peanut-Free, Tree-Nut-Free, Fish-Free, Shellfish-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free. It contains approximately 7385.05 calories in total."
Shakshuka Focaccia,"1 recipe Saltie's Focaccia dough, not cooked: https://food52.com/recipes..., 3 tablespoons canola oil, 2 medium yellow onions, chopped, 1 large green bell pepper, cored, seeded, and chopped, 1 large jalapeño chile, cored, seeded, and chopped, 7 garlic cloves, finely chopped, 1/4 cup tomato paste, 1 (28-ounce) can crushed tomatoes, 1 bay leaf, 1 1/2 tablespoons sugar, 1 1/2 teaspoons kosher salt, 1 tablespoon paprika, 1 tablespoon ground cumin, 1 1/2 teaspoons freshly ground black pepper, 1 teaspoon ground caraway, 8 large eggs",italian,2130.87,"Start by gathering the following ingredients: 1 recipe Saltie's Focaccia dough, not cooked: https://food52.com/recipes..., 3 tablespoons canola oil, 2 medium yellow onions, chopped, 1 large green bell pepper, cored, seeded, and chopped, 1 large jalapeño chile, cored, seeded, and chopped, 7 garlic cloves, finely chopped, 1/4 cup tomato paste, 1 (28-ounce) can crushed tomatoes, 1 bay leaf, 1 1/2 tablespoons sugar, 1 1/2 teaspoons kosher salt, 1 tablespoon paprika, 1 tablespoon ground cumin, 1 1/2 teaspoons freshly ground black pepper, 1 teaspoon ground caraway, 8 large eggs. Prepare the dish categorized as a bread. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the bread hot. This dish is suitable for Vegetarian, Pescatarian, Dairy-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Fish-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Kosher. It contains approximately 2130.87 calories in total."
Not-Quite Niçoise with Lime-Chive Cream,"For the Salad, 1 1/4 pounds tiny creamer potatoes, trimmed, 3/4 pound French filet beans or regular green beans, stem end removed, 4 cups butter lettuce leaves, loosely packed, washed and spun dry, 2 cups baby spinach leaves, washed and spun dry, 2 pointed sweet red peppers (or 1 large red bell pepper), quartered lengthwise and sliced crosswise, 3 Persian cucumbers, halved lengthwise and sliced crosswise, 3 ripe, red-brown or other flavorful tomatoes, cored and sliced into wedges, 4 hard-cooked eggs, halved, 1 clove from a head of shallot, halved and thinly sliced, 1 avocado, cut into thin wedges (optional, but good), 3 ounces mild smoked salmon such as Scottish or Gaspe, sliced in ribbons, or one filet of smoked, peppered mackerel, flaked (about 3 oz.), as preferred, For the lime cream, 1 1/2 - 2 tablespoons crème fraîche, 1/2 lime, juiced and zested, 1 pinch fine sea salt to taste, 1/2 teaspoon mild honey, 2 tablespoons minced chives, 5 tablespoons olive oil",french,2123.5,"Start by gathering the following ingredients: For the Salad, 1 1/4 pounds tiny creamer potatoes, trimmed, 3/4 pound French filet beans or regular green beans, stem end removed, 4 cups butter lettuce leaves, loosely packed, washed and spun dry, 2 cups baby spinach leaves, washed and spun dry, 2 pointed sweet red peppers (or 1 large red bell pepper), quartered lengthwise and sliced crosswise, 3 Persian cucumbers, halved lengthwise and sliced crosswise, 3 ripe, red-brown or other flavorful tomatoes, cored and sliced into wedges, 4 hard-cooked eggs, halved, 1 clove from a head of shallot, halved and thinly sliced, 1 avocado, cut into thin wedges (optional, but good), 3 ounces mild smoked salmon such as Scottish or Gaspe, sliced in ribbons, or one filet of smoked, peppered mackerel, flaked (about 3 oz.), as preferred, For the lime cream, 1 1/2 - 2 tablespoons crème fraîche, 1/2 lime, juiced and zested, 1 pinch fine sea salt to taste, 1/2 teaspoon mild honey, 2 tablespoons minced chives, 5 tablespoons olive oil. Prepare the dish categorized as a salad. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the salad hot. This dish is suitable for Pescatarian, Gluten-Free, Wheat-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Kosher. It contains approximately 2123.5 calories in total."
"Vegetarian Lasagna ""Bolognese"" with Plant-Based Meat","1 medium zucchini, sliced lengthwise into 1/8-inch-thick planks, 1 tablespoon olive oil, 1 ½ cups chopped yellow onion, 3 garlic cloves, minced, 3 (12-ounce) packages plant-based ground ""meat"", 1 tablespoon plus 2 teaspoons kosher salt, divided, 1 tablespoon black pepper, divided, 1 (28-ounce) can crushed tomatoes (preferably no salt added), 1 (14.5-ounce) can fire-roasted diced tomatoes, divided, 1 jarred roasted red bell pepper, chopped, ¼ chopped fresh basil leaves, plus more for garnish, 1 tablespoon dried Italian seasoning, divided, Crushed red pepper (optional), 1 (10-ounce) package frozen spinach, thawed, 16 ounces ricotta cheese (about 1 1/2 cups), 2 large eggs, 1 ½ pounds mozzarella cheese, shredded (about 6 cups), divided, ¾ cup grated parmesan cheese, plus 1 cup shredded parmesan cheese (about 7 ounces total), Cooking spray, 4 fresh (no-boil) lasagna noodles (from an 8.8-ounce package)",italian,12924.59,"Start by gathering the following ingredients: 1 medium zucchini, sliced lengthwise into 1/8-inch-thick planks, 1 tablespoon olive oil, 1 ½ cups chopped yellow onion, 3 garlic cloves, minced, 3 (12-ounce) packages plant-based ground ""meat"", 1 tablespoon plus 2 teaspoons kosher salt, divided, 1 tablespoon black pepper, divided, 1 (28-ounce) can crushed tomatoes (preferably no salt added), 1 (14.5-ounce) can fire-roasted diced tomatoes, divided, 1 jarred roasted red bell pepper, chopped, ¼ chopped fresh basil leaves, plus more for garnish, 1 tablespoon dried Italian seasoning, divided, Crushed red pepper (optional), 1 (10-ounce) package frozen spinach, thawed, 16 ounces ricotta cheese (about 1 1/2 cups), 2 large eggs, 1 ½ pounds mozzarella cheese, shredded (about 6 cups), divided, ¾ cup grated parmesan cheese, plus 1 cup shredded parmesan cheese (about 7 ounces total), Cooking spray, 4 fresh (no-boil) lasagna noodles (from an 8.8-ounce package). Prepare the dish categorized as a main course. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course hot. This dish is suitable for Peanut-Free, Tree-Nut-Free, Fish-Free, Shellfish-Free, Pork-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free. It contains approximately 12924.59 calories in total."
Vegetable Lasagna with Yellow Tomatoes,"1 cup (1 oz./30 g) packed fresh basil leaves, plus 1 Tbs. thinly sliced basil, 1/2 cup (1/2 oz./15 g) raw baby spinach leaves, plus 1 lb. (500 g) baby spinach, blanched and squeezed dry, 1 1/2 tsp. minced garlic, 1/2 cup (4 fl. oz./125 ml) plus 1 Tbs. olive oil, 1/4 cup (1 oz./30 g) grated Parmesan cheese, Kosher salt and freshly ground pepper, 3 cups (1 1/2 lb./750 g) ricotta cheese, 1 egg, lightly beaten, 4 Tbs. (1/2 stick) (2 oz./60 g) unsalted butter, 1/4 cup (1 1/4 oz./40 g) finely chopped shallots, 1/4 cup (1 1/2 oz./45 g) all-purpose flour, 3 cups (24 fl. oz./750 ml) milk, 1 lb. (500 g) cremini mushrooms, sliced 1/4 inch (6 mm) thick, 1 jar (16 oz./500 g) roasted red bell peppers, drained and sliced 1/4 inch (6 mm) thick, 2 cups (12 oz./375 g) small yellow tomatoes, chopped, plus 1/2 cup (3 oz./90 g) halved, for optional garnish, 1 lb. (500 g) no-boil lasagna noodles, 4 1/2 cups (18 oz./560 g) shredded mozzarella cheese",italian,6638.63,"Start by gathering the following ingredients: 1 cup (1 oz./30 g) packed fresh basil leaves, plus 1 Tbs. thinly sliced basil, 1/2 cup (1/2 oz./15 g) raw baby spinach leaves, plus 1 lb. (500 g) baby spinach, blanched and squeezed dry, 1 1/2 tsp. minced garlic, 1/2 cup (4 fl. oz./125 ml) plus 1 Tbs. olive oil, 1/4 cup (1 oz./30 g) grated Parmesan cheese, Kosher salt and freshly ground pepper, 3 cups (1 1/2 lb./750 g) ricotta cheese, 1 egg, lightly beaten, 4 Tbs. (1/2 stick) (2 oz./60 g) unsalted butter, 1/4 cup (1 1/4 oz./40 g) finely chopped shallots, 1/4 cup (1 1/2 oz./45 g) all-purpose flour, 3 cups (24 fl. oz./750 ml) milk, 1 lb. (500 g) cremini mushrooms, sliced 1/4 inch (6 mm) thick, 1 jar (16 oz./500 g) roasted red bell peppers, drained and sliced 1/4 inch (6 mm) thick, 2 cups (12 oz./375 g) small yellow tomatoes, chopped, plus 1/2 cup (3 oz./90 g) halved, for optional garnish, 1 lb. (500 g) no-boil lasagna noodles, 4 1/2 cups (18 oz./560 g) shredded mozzarella cheese. Prepare the dish categorized as a main course. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course hot. This dish is suitable for Vegetarian, Pescatarian, Peanut-Free, Tree-Nut-Free, Soy-Free, Fish-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free, Kosher. It contains approximately 6638.63 calories in total."
Anytime Migas,"8 corn tortillas, 4 Eggs, 4-6 tablespoons Salsa, Salt & Pepper, Canola oil",american,745.2,"Start by gathering the following ingredients: 8 corn tortillas, 4 Eggs, 4-6 tablespoons Salsa, Salt & Pepper, Canola oil. Prepare the dish categorized as a main course. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course hot. This dish is suitable for Sugar-Conscious, Kidney-Friendly, Vegetarian, Pescatarian, Dairy-Free, Gluten-Free, Wheat-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Fish-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free, Kosher. It contains approximately 745.2 calories in total."
"avocado cup salads, two ways","1 cup black beans, cooked, drained (about 2/3 of a 15-ounce can), 1 large bell pepper, finely diced (I used a mix of colors because we keep them around for the kid), 1/4 cup finely diced white or red onion, 1 small jalapeno, seeded and minced, 1/4 cup olive oil, 2 tablespoons freshly squeezed lime juice (from about 1 lime), 1/4 teaspoon coarse salt, plus more to taste, 1/2 teaspoon ground cumin, Dashes of hot sauce or pinches of cayenne, to taste, Chopped cilantro for garnish, 4 ripe avocados, 1 cup finely diced cucumber (from about half a long English or 2 small Persian cukes), seeds removed, 1 cup finely diced radishes (from about 4 large red ones), 2 scallions, finely chopped, 4 tablespoons toasted sesame oil, 2 teaspoons white miso (shiromiso, which is more mild/less salty), 2 tablespoons rice vinegar, 1/2 teaspoon finely grated or minced fresh ginger root (or more to taste), 1 teaspoon white sesame seeds, toasted, 1 teaspoon black sesame seeds, 4 ripe avocados",south american,4377.91,"Start by gathering the following ingredients: 1 cup black beans, cooked, drained (about 2/3 of a 15-ounce can), 1 large bell pepper, finely diced (I used a mix of colors because we keep them around for the kid), 1/4 cup finely diced white or red onion, 1 small jalapeno, seeded and minced, 1/4 cup olive oil, 2 tablespoons freshly squeezed lime juice (from about 1 lime), 1/4 teaspoon coarse salt, plus more to taste, 1/2 teaspoon ground cumin, Dashes of hot sauce or pinches of cayenne, to taste, Chopped cilantro for garnish, 4 ripe avocados, 1 cup finely diced cucumber (from about half a long English or 2 small Persian cukes), seeds removed, 1 cup finely diced radishes (from about 4 large red ones), 2 scallions, finely chopped, 4 tablespoons toasted sesame oil, 2 teaspoons white miso (shiromiso, which is more mild/less salty), 2 tablespoons rice vinegar, 1/2 teaspoon finely grated or minced fresh ginger root (or more to taste), 1 teaspoon white sesame seeds, toasted, 1 teaspoon black sesame seeds, 4 ripe avocados. Prepare the dish categorized as a starter. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the starter hot. This dish is suitable for Sugar-Conscious, Vegan, Vegetarian, Pescatarian, Dairy-Free, Gluten-Free, Wheat-Free, Egg-Free, Peanut-Free, Tree-Nut-Free, Fish-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free, Kosher. It contains approximately 4377.91 calories in total."
Chicken and Rice with Broccoli Recipe,"2 ½ pounds bone-in, skin-on chicken legs or other chicken parts, Kosher salt and freshly ground black pepper, 2 tablespoons olive oil, 1 large onion, chopped (1 ½ cups), 2 small heads broccoli, cut into florets (about 2 cups), 3 medium cloves garlic, minced or grated with a microplane (about 1 tablespoon), 1 teaspoon ground cumin, 1 teaspoon turmeric or pinch of saffron threads, 1/4 teaspoon cayenne pepper (plus more to taste if desired), 3 cups homemade homemade or store-bought low sodium chicken broth, 1 ½ cups basmati or long-grain white rice, 3/4 cup frozen peas, 2 tablespoon chopped fresh parsley leaves, Lemon or lime wedges, for serving",mediterranean,4392.38,"Start by gathering the following ingredients: 2 ½ pounds bone-in, skin-on chicken legs or other chicken parts, Kosher salt and freshly ground black pepper, 2 tablespoons olive oil, 1 large onion, chopped (1 ½ cups), 2 small heads broccoli, cut into florets (about 2 cups), 3 medium cloves garlic, minced or grated with a microplane (about 1 tablespoon), 1 teaspoon ground cumin, 1 teaspoon turmeric or pinch of saffron threads, 1/4 teaspoon cayenne pepper (plus more to taste if desired), 3 cups homemade homemade or store-bought low sodium chicken broth, 1 ½ cups basmati or long-grain white rice, 3/4 cup frozen peas, 2 tablespoon chopped fresh parsley leaves, Lemon or lime wedges, for serving. Prepare the dish categorized as a main course. Follow these steps:
1. Begin by preparing your workspace. Clean your vegetables and proteins. 2. Heat up your pan (or oven, depending on the dish) to a medium temperature. 3. For proteins like chicken or meat, cook them thoroughly until browned on all sides and fully cooked inside.
4. If your recipe includes vegetables, sauté them until tender but still crisp. 5. Add seasonings and any sauces to taste. 6. Once everything is cooked and well-combined, give it a final stir. 7. Serve the main course hot. This dish is suitable for Dairy-Free, Gluten-Free, Wheat-Free, Egg-Free, Peanut-Free, Tree-Nut-Free, Soy-Free, Fish-Free, Shellfish-Free, Pork-Free, Red-Meat-Free, Crustacean-Free, Celery-Free, Mustard-Free, Sesame-Free, Lupine-Free, Mollusk-Free, Alcohol-Free, Sulfite-Free, Kosher. It contains approximately 4392.38 calories in total."
